duration_days,radiation,shielding,exercise,dna_damage,mitochondrial_stress,immune_dysfunction,inflammation,senescence
126,low,medium,high,10.1,10.6,3.1,2.6,10.6
321,low,low,medium,43.5,46.7,32.1,29.3,34.3
725,medium,medium,low,97.0,100.0,77.2,71.0,77.1
62,low,high,low,0.0,28.7,23.5,23.7,0.0
327,high,medium,low,64.2,78.3,54.5,54.6,47.9
471,high,medium,low,81.5,93.9,64.9,63.3,61.7
381,medium,medium,medium,55.7,63.6,42.4,40.4,44.1
225,low,low,high,32.0,21.3,10.2,8.5,25.1
464,low,high,low,40.7,72.1,52.4,47.8,38.0
684,high,high,high,97.1,91.9,55.2,51.0,77.2
40,low,high,medium,0.0,16.3,11.9,12.4,0.0
537,low,high,low,49.4,80.0,57.7,52.2,45.1
511,high,low,high,96.3,73.2,42.8,40.7,70.6
524,medium,low,high,82.9,64.1,37.7,33.9,62.8
567,low,high,medium,53.0,73.2,49.8,44.0,47.9
166,medium,low,medium,39.9,40.4,27.0,27.5,28.4
550,low,low,high,71.0,56.4,33.6,28.0,56.3
724,low,medium,high,81.9,75.2,46.1,38.4,68.0
128,medium,high,medium,15.4,36.3,24.2,25.2,14.8
252,low,high,high,15.2,24.2,12.1,10.1,17.7
632,high,low,medium,100.0,100.0,66.5,62.9,82.2
285,low,high,high,19.2,27.8,14.5,12.1,20.9
141,low,medium,medium,11.9,27.2,19.2,18.5,12.0
700,medium,low,high,100.0,83.1,50.4,44.5,79.7
97,high,medium,medium,36.6,43.5,28.0,30.8,25.8
186,medium,high,medium,22.3,42.6,28.4,28.7,20.4
63,high,low,medium,42.6,39.8,25.5,28.8,27.5
427,medium,medium,low,61.2,78.6,55.7,53.1,48.5
663,medium,high,medium,79.6,94.1,62.7,57.3,66.1
133,low,high,medium,1.0,26.4,18.6,18.0,6.3
194,medium,medium,low,33.3,53.5,39.0,39.1,26.1
321,medium,high,medium,38.5,57.2,38.1,36.8,33.3
235,medium,medium,medium,38.2,47.9,31.9,31.6,30.1
304,high,medium,high,61.5,50.8,27.9,28.2,45.7
261,high,high,high,46.3,46.2,24.8,25.7,36.6
443,medium,high,medium,53.2,70.3,46.9,44.1,45.0
680,low,high,low,66.6,95.4,68.0,60.8,58.8
513,low,high,medium,46.6,67.4,45.9,40.8,42.7
293,low,medium,high,30.2,28.6,15.1,12.6,26.6
713,low,low,medium,90.6,89.0,60.3,52.8,71.9
725,high,high,low,100.0,100.0,83.2,78.5,81.1
47,low,low,medium,10.6,17.1,12.4,12.8,8.0
669,high,low,high,100.0,90.3,54.2,50.1,85.7
453,low,medium,low,49.4,70.9,51.6,47.2,42.0
117,low,medium,low,9.0,34.6,27.4,27.0,9.7
565,high,medium,low,92.8,100.0,71.7,68.9,70.7
381,high,low,low,80.7,84.1,58.4,57.9,58.1
349,low,high,low,26.9,59.7,44.1,40.9,27.0
375,medium,high,low,45.0,73.0,52.0,50.0,38.5
497,high,high,medium,74.6,86.7,56.8,54.8,59.2
311,low,medium,low,32.3,55.6,41.4,38.7,28.4
451,high,low,high,89.1,66.7,38.5,37.1,64.8
368,low,high,medium,29.2,51.7,35.5,32.1,28.8
201,medium,medium,medium,34.1,44.2,29.5,29.6,26.8
606,low,low,low,77.7,87.4,62.6,56.4,61.7
634,low,high,high,61.1,65.5,39.6,33.0,54.4
718,low,low,low,91.2,99.5,70.7,63.1,72.4
76,low,high,high,0.0,5.2,0.0,0.0,0.8
298,high,low,high,70.8,50.2,27.5,27.9,50.1
414,medium,high,medium,49.7,67.2,44.8,42.3,42.2
386,medium,high,low,46.3,74.2,52.8,50.7,39.6
114,low,low,medium,18.7,24.3,17.2,16.8,14.4
432,low,high,medium,36.8,58.7,40.1,35.9,35.0
179,medium,medium,medium,31.5,41.8,27.9,28.2,24.7
166,high,low,low,54.9,60.9,43.0,45.0,37.4
302,low,high,low,21.2,54.6,40.7,38.1,22.5
653,low,high,low,63.4,92.5,66.0,59.2,56.2
412,low,low,medium,54.4,56.5,38.7,34.7,43.1
220,medium,high,high,26.4,31.3,15.8,15.7,23.6
94,low,medium,low,6.3,32.2,25.8,25.6,7.5
276,low,low,medium,38.1,41.8,28.9,26.6,30.0
534,low,medium,high,59.1,54.7,32.4,27.0,49.8
143,high,high,low,32.2,58.4,41.3,43.6,25.2
467,low,medium,high,51.0,47.4,27.6,23.0,43.3
327,high,low,high,74.2,53.3,29.5,29.6,52.9
347,high,medium,medium,66.6,70.5,46.0,45.8,49.8
137,low,low,medium,21.4,26.8,18.9,18.2,16.7
307,medium,high,low,36.8,65.7,47.1,45.9,32.0
546,medium,high,medium,65.5,81.5,54.3,50.3,54.9
226,high,low,medium,62.1,57.4,37.3,38.6,43.2
445,medium,medium,medium,63.4,70.6,47.0,44.2,50.2
143,low,low,medium,22.2,27.4,19.3,18.6,17.2
241,high,high,medium,43.9,59.0,38.4,39.5,34.6
499,high,high,high,74.9,71.9,41.9,39.9,59.4
206,medium,low,low,44.7,54.7,39.8,39.9,32.3
698,medium,low,medium,100.0,97.9,65.3,59.4,79.5
368,medium,medium,high,54.2,47.2,26.5,24.6,42.8
548,high,low,medium,100.0,92.2,60.5,57.9,74.1
130,high,high,high,30.6,32.0,15.4,17.8,24.0
413,high,low,low,84.6,87.6,60.7,59.8,61.1
203,medium,high,medium,24.4,44.4,29.6,29.7,22.0
486,medium,high,medium,58.3,75.0,50.0,46.7,49.2
118,medium,high,high,14.2,20.2,8.5,9.6,13.8
216,high,medium,medium,50.9,56.3,36.6,38.0,37.2
358,high,medium,high,68.0,56.7,31.8,31.5,50.9
127,low,high,medium,0.2,25.7,18.1,17.6,5.7
438,low,low,high,57.6,44.3,25.5,21.3,45.5
434,low,high,medium,37.1,58.9,40.2,36.0,35.2
255,low,medium,low,25.6,49.5,37.4,35.3,23.0
423,high,high,high,65.8,63.7,36.5,35.4,52.1
704,high,medium,high,100.0,94.0,56.7,52.2,84.1
168,low,high,high,5.2,15.1,6.1,5.1,9.6
236,medium,low,low,48.3,58.0,42.0,41.7,35.2
577,medium,low,medium,89.2,84.8,56.5,52.1,67.9
462,low,medium,high,50.4,46.9,27.3,22.7,42.9
448,medium,medium,low,63.8,80.9,57.3,54.4,50.5
146,low,low,high,22.5,12.8,4.5,3.8,17.5
292,high,high,high,50.0,49.5,27.0,27.5,39.5
613,medium,low,low,93.6,98.7,69.1,64.3,71.3
550,medium,high,medium,66.0,81.9,54.6,50.5,55.3
510,high,high,medium,76.2,88.1,57.7,55.6,60.5
232,medium,medium,low,37.8,57.6,41.7,41.4,29.8
248,low,medium,high,24.8,23.8,11.9,9.9,22.3
348,low,high,low,26.8,59.6,44.1,40.9,26.9
687,high,low,low,100.0,100.0,80.5,76.2,87.5
460,high,low,medium,90.2,82.7,54.1,52.6,65.7
564,medium,high,low,67.7,93.4,65.6,61.3,56.6
505,high,high,low,75.6,97.5,67.4,65.3,60.0
436,medium,medium,high,62.3,54.6,31.4,28.7,49.4
177,medium,low,low,41.2,51.6,37.7,38.1,29.5
76,medium,low,medium,29.1,30.7,20.5,22.1,19.8
572,medium,medium,high,78.6,69.3,41.2,36.8,62.4
353,medium,low,medium,62.4,60.6,40.4,38.7,46.4
239,low,medium,medium,23.7,37.8,26.2,24.3,21.4
105,medium,low,low,32.6,43.8,32.6,33.8,22.6
670,low,high,medium,65.4,84.4,57.2,50.2,57.8
569,medium,medium,low,78.3,94.0,66.0,61.6,62.1
442,medium,medium,low,63.0,80.2,56.8,54.0,49.9
308,low,high,low,22.0,55.3,41.2,38.5,23.1
662,high,medium,medium,100.0,100.0,68.7,64.7,80.1
143,medium,low,high,37.2,22.9,10.3,11.1,26.2
391,high,low,high,81.9,60.2,34.2,33.5,59.0
167,medium,low,low,40.0,50.5,37.0,37.5,28.5
227,low,low,low,32.2,46.5,35.3,33.6,25.3
358,low,high,low,28.0,60.7,44.8,41.5,27.9
566,high,medium,low,92.9,100.0,71.8,69.0,70.8
321,high,low,medium,73.5,67.7,44.1,44.3,52.3
671,high,medium,medium,100.0,100.0,69.3,65.3,80.9
730,high,low,medium,100.0,100.0,73.6,68.8,91.6
546,low,high,low,50.5,81.0,58.3,52.8,45.9
124,high,low,high,49.9,31.4,14.9,17.4,33.4
264,high,low,medium,66.7,61.5,40.0,40.8,46.8
409,high,high,high,64.1,62.2,35.4,34.5,50.8
483,low,high,high,43.0,49.2,28.8,24.0,39.9
673,medium,high,low,80.8,100.0,73.5,67.9,67.1
196,high,high,low,38.5,64.2,45.1,46.8,30.3
177,low,high,high,6.2,16.1,6.7,5.6,10.5
133,high,low,high,51.0,32.4,15.6,18.0,34.3
678,low,low,medium,86.4,85.2,57.8,50.7,68.6
648,high,low,low,100.0,100.0,77.7,73.9,83.7
444,medium,high,low,53.3,80.5,57.0,54.1,45.1
399,high,high,high,62.9,61.1,34.7,33.9,49.8
45,high,medium,medium,30.4,37.9,24.2,27.7,20.8
664,high,medium,high,100.0,89.7,53.8,49.8,80.2
426,low,high,medium,36.1,58.0,39.7,35.6,34.4
343,medium,high,high,41.2,44.5,24.7,23.1,35.4
294,low,medium,medium,30.3,43.8,30.2,27.6,26.7
422,low,high,high,35.6,42.6,24.4,20.3,34.0
264,low,low,high,36.7,25.5,13.0,10.8,28.8
194,medium,medium,low,33.3,53.5,39.0,39.1,26.1
290,high,high,low,49.8,74.3,51.9,52.4,39.3
446,low,high,high,38.5,45.2,26.1,21.8,36.3
252,medium,high,low,30.2,59.7,43.1,42.6,26.7
245,medium,medium,high,39.4,34.0,17.6,17.2,31.0
660,medium,medium,high,89.2,78.8,47.5,42.1,70.9
609,low,high,high,58.1,62.8,37.8,31.5,52.0
255,low,low,high,35.6,24.5,12.4,10.3,28.0
251,low,low,high,35.1,24.1,12.1,10.1,27.6
63,high,high,high,22.6,24.8,10.5,13.8,17.5
96,high,high,high,26.5,28.4,12.9,15.8,20.7
281,high,medium,medium,58.7,63.3,41.2,41.9,43.5
301,high,low,low,71.1,75.5,52.7,53.1,50.4
585,medium,medium,low,80.2,95.7,67.1,62.6,63.7
380,high,medium,high,70.6,59.0,33.4,32.8,53.0
481,medium,high,low,57.7,84.4,59.6,56.4,48.7
684,medium,low,low,100.0,100.0,74.2,68.5,78.2
547,low,medium,medium,60.6,71.1,48.4,42.8,51.0
367,low,medium,medium,39.0,51.6,35.4,32.0,33.7
577,low,high,high,54.2,59.3,35.5,29.6,48.9
608,low,low,low,78.0,87.7,62.8,56.5,61.9
39,high,low,medium,39.7,37.2,23.8,27.3,25.2
388,low,medium,low,41.6,63.9,46.9,43.3,35.7
504,high,medium,medium,85.5,87.4,57.3,55.2,64.9
704,high,medium,medium,100.0,100.0,71.7,67.2,84.1
103,medium,medium,low,22.4,43.6,32.4,33.7,17.4
597,medium,low,medium,91.6,87.0,58.0,53.3,69.8
169,medium,low,medium,40.3,40.8,27.2,27.6,28.7
106,medium,medium,high,22.7,18.9,7.6,8.9,17.7
137,high,medium,low,41.4,57.8,40.9,43.2,29.7
59,low,medium,medium,2.1,18.4,13.2,13.5,4.2
719,low,low,medium,91.3,89.7,60.8,53.1,72.5
119,medium,medium,high,24.3,20.4,8.6,9.6,18.9
622,low,low,low,79.6,89.2,63.8,57.3,63.2
235,medium,medium,low,38.2,57.9,41.9,41.6,30.1
294,low,high,low,20.3,53.8,40.2,37.6,21.7
583,low,high,low,55.0,85.0,61.0,55.0,49.5
430,medium,medium,medium,61.6,68.9,46.0,43.3,48.8
428,low,medium,medium,46.4,58.2,39.8,35.7,39.6
573,low,high,medium,53.8,73.9,50.3,44.4,48.5
516,medium,high,medium,61.9,78.2,52.2,48.5,52.0
338,high,medium,low,65.6,79.5,55.3,55.3,48.9
628,low,medium,high,70.4,64.8,39.2,32.7,58.8
640,high,medium,high,100.0,87.1,52.1,48.4,77.9
627,medium,high,high,75.2,75.2,45.1,40.1,62.7
194,high,low,low,58.3,64.0,45.0,46.6,40.1
377,low,medium,high,40.2,37.7,21.1,17.6,34.7
487,low,low,low,63.4,74.6,54.1,49.2,50.3
184,low,high,high,7.1,16.9,7.2,6.0,11.2
694,high,low,high,100.0,93.0,56.0,51.6,88.1
407,low,low,medium,53.8,56.0,38.3,34.4,42.6
245,low,low,low,34.4,48.5,36.6,34.7,27.0
491,medium,medium,medium,68.9,75.5,50.4,47.0,54.6
180,low,high,low,6.6,41.4,32.0,30.8,10.8
420,medium,high,low,50.4,77.9,55.2,52.7,42.8
716,high,low,medium,100.0,100.0,72.6,68.0,90.2
545,high,medium,medium,90.4,91.9,60.2,57.7,68.8
232,high,low,high,62.8,43.1,22.7,23.9,43.8
681,low,high,medium,66.7,85.5,58.0,50.9,58.9
483,low,high,high,43.0,49.2,28.8,24.0,39.9
255,low,low,low,35.6,49.5,37.4,35.3,28.0
632,high,low,high,100.0,86.3,51.5,47.9,82.2
287,high,medium,low,59.4,74.0,51.7,52.2,44.1
235,high,medium,medium,53.2,58.4,37.9,39.1,39.1
152,high,low,high,53.2,34.4,16.9,19.1,36.1
534,low,low,high,69.1,54.7,32.4,27.0,54.8
469,medium,low,high,76.3,58.2,33.8,30.6,57.5
665,high,medium,high,100.0,89.8,53.9,49.9,80.3
637,high,high,low,91.4,100.0,76.9,73.2,72.7
261,low,medium,high,26.3,25.2,12.8,10.7,23.6
84,medium,high,low,10.1,41.6,31.0,32.5,10.6
447,medium,medium,medium,63.6,70.8,47.2,44.3,50.4
334,high,high,medium,55.1,69.1,45.0,45.0,43.6
331,high,high,high,54.7,53.7,29.8,29.9,43.3
88,low,medium,high,5.6,6.5,0.3,0.3,6.9
295,high,high,low,50.4,74.9,52.2,52.7,39.8
253,high,low,medium,65.4,60.3,39.2,40.2,45.8
610,low,high,high,58.2,62.9,37.9,31.6,52.1
515,medium,high,high,61.8,63.1,37.1,33.4,51.9
202,medium,high,high,24.2,29.3,14.5,14.6,21.9
142,high,medium,low,42.0,58.3,41.2,43.5,30.1
540,low,medium,low,59.8,80.3,57.9,52.4,50.3
242,low,high,medium,14.0,38.1,26.4,24.5,16.7
310,medium,medium,medium,47.2,56.0,37.3,36.1,37.3
223,high,medium,medium,51.8,57.1,37.1,38.4,37.9
474,high,low,medium,91.9,84.2,55.1,53.4,67.0
357,medium,medium,high,52.8,46.1,25.7,23.9,41.8
659,low,high,medium,64.1,83.2,56.4,49.5,56.8
550,low,medium,high,61.0,56.4,33.6,28.0,51.3
127,medium,high,low,15.2,46.2,34.1,35.1,14.7
460,low,high,high,40.2,46.7,27.1,22.6,37.7
308,medium,medium,medium,47.0,55.8,37.2,36.0,37.1
409,high,medium,medium,74.1,77.2,50.4,49.5,55.8
57,high,medium,low,31.8,49.2,35.1,38.4,22.0
292,high,medium,medium,60.0,64.5,42.0,42.5,44.5
577,high,medium,low,94.2,100.0,72.5,69.6,71.9
149,high,high,low,32.9,59.1,41.7,43.9,25.8
723,high,medium,high,100.0,96.1,58.1,53.4,85.9
227,low,low,high,32.2,21.5,10.3,8.6,25.3
643,medium,low,low,97.2,100.0,71.3,66.1,74.2
505,low,medium,high,55.6,51.5,30.4,25.3,47.0
698,medium,medium,high,93.8,82.9,50.3,44.4,74.5
283,medium,low,low,54.0,63.1,45.4,44.5,39.7
323,medium,medium,medium,48.8,57.4,38.3,36.9,38.5
285,low,high,high,19.2,27.8,14.5,12.1,20.9
245,low,medium,low,24.4,48.5,36.6,34.7,22.0
630,low,medium,low,70.6,90.0,64.4,57.8,59.0
74,high,high,high,23.9,26.0,11.3,14.4,18.6
499,medium,low,medium,79.9,76.4,50.9,47.4,60.4
283,low,medium,high,29.0,27.6,14.4,12.0,25.7
138,low,medium,high,11.6,11.9,3.9,3.3,11.7
158,high,high,medium,34.0,50.1,32.4,34.5,26.7
563,low,high,low,52.6,82.8,59.5,53.8,47.5
58,high,low,high,42.0,24.3,10.2,13.5,27.1
176,high,high,high,36.1,37.0,18.7,20.6,28.4
467,high,high,low,71.0,93.4,64.6,63.0,56.3
121,high,medium,high,39.5,31.1,14.7,17.3,28.1
267,low,high,low,17.0,50.8,38.2,36.0,19.1
84,medium,low,low,30.1,41.6,31.0,32.5,20.6
244,medium,medium,high,39.3,33.9,17.6,17.1,30.9
80,medium,medium,medium,19.6,31.1,20.8,22.3,15.2
598,medium,high,low,71.8,97.1,68.1,63.4,59.9
334,low,medium,low,35.1,58.1,43.0,40.0,30.6
437,medium,high,medium,52.4,69.7,46.5,43.7,44.5
131,high,high,low,30.7,57.1,40.4,42.9,24.1
649,medium,medium,medium,87.9,92.6,61.7,56.4,69.8
100,high,low,medium,47.0,43.8,28.2,31.0,31.1
248,low,medium,medium,24.8,38.8,26.9,24.9,22.3
184,high,medium,high,47.1,37.9,19.2,21.0,34.2
712,high,low,high,100.0,94.9,57.3,52.7,89.9
600,low,low,medium,77.0,76.8,52.2,46.0,61.1
262,high,medium,high,56.4,46.3,24.9,25.7,41.7
168,high,high,medium,35.2,51.1,33.1,35.1,27.6
324,medium,medium,medium,48.9,57.5,38.3,36.9,38.6
36,low,high,low,0.0,25.9,21.6,22.2,0.0
289,high,low,medium,69.7,64.2,41.8,42.3,49.2
668,high,high,high,95.2,90.1,54.1,50.1,75.6
702,high,medium,high,100.0,93.8,56.5,52.1,83.9
417,low,high,high,35.0,42.0,24.0,20.0,33.5
300,medium,medium,low,46.0,64.9,46.6,45.5,36.3
310,medium,high,medium,37.2,56.0,37.3,36.1,32.3
339,medium,low,medium,60.7,59.1,39.4,37.8,45.0
384,medium,medium,high,56.1,49.0,27.6,25.5,44.4
669,medium,medium,high,90.3,79.8,48.2,42.6,71.7
217,low,low,low,31.0,45.4,34.6,33.0,24.3
484,high,high,medium,73.1,85.3,55.8,54.0,58.0
214,medium,low,high,45.7,30.6,15.4,15.3,33.0
171,medium,high,high,20.5,26.0,12.3,12.8,18.9
452,high,low,high,89.2,66.8,38.5,37.1,64.9
452,high,medium,low,79.2,91.8,63.5,62.1,59.9
83,medium,high,medium,10.0,31.5,21.0,22.5,10.5
262,high,medium,high,56.4,46.3,24.9,25.7,41.7
668,high,low,medium,100.0,100.0,69.1,65.1,85.6
123,medium,low,medium,34.8,35.8,23.9,24.9,24.3
701,medium,medium,medium,94.1,98.2,65.5,59.6,74.8
527,high,medium,high,88.2,74.9,43.9,41.6,67.1
678,high,medium,high,100.0,91.2,54.8,50.7,81.6
101,medium,high,medium,12.1,33.4,22.3,23.6,12.2
635,high,medium,medium,100.0,100.0,66.7,63.1,77.5
575,high,high,medium,84.0,95.1,62.4,59.5,66.7
583,medium,low,high,90.0,70.5,42.0,37.5,68.5
88,medium,high,high,10.6,17.0,6.3,7.8,10.9
603,medium,low,low,92.4,97.6,68.4,63.7,70.4
439,low,medium,medium,47.7,59.4,40.6,36.3,40.6
312,high,low,high,72.4,51.7,28.5,28.7,51.5
367,low,low,low,49.0,61.6,45.4,42.0,38.7
661,high,low,medium,100.0,100.0,68.6,64.7,85.0
175,high,medium,medium,46.0,51.9,33.6,35.5,33.3
574,high,low,high,100.0,80.0,47.3,44.4,76.6
356,high,high,low,57.7,81.4,56.6,56.4,45.7
496,medium,high,high,59.5,61.1,35.7,32.3,50.1
606,low,low,medium,77.7,77.4,52.6,46.4,61.7
657,low,medium,medium,73.8,83.0,56.3,49.4,61.6
247,low,medium,medium,24.6,38.7,26.8,24.8,22.2
348,medium,low,low,61.8,70.1,50.1,48.4,45.9
314,low,high,high,22.7,30.9,16.6,13.8,23.6
330,medium,medium,high,49.6,43.1,23.8,22.3,39.2
456,low,medium,low,49.7,71.2,51.8,47.4,42.3
126,low,high,medium,0.1,25.6,18.1,17.6,5.6
173,low,high,medium,5.8,30.7,21.5,20.4,10.1
87,high,medium,low,35.4,52.4,37.3,40.2,24.9
315,high,high,high,52.8,52.0,28.7,28.9,41.7
703,high,low,high,100.0,93.9,56.6,52.2,89.0
590,high,high,medium,85.8,96.7,63.5,60.4,68.1
425,medium,high,low,51.0,78.4,55.6,53.0,43.3
201,high,high,high,39.1,39.7,20.5,22.1,30.8
480,low,medium,medium,52.6,63.8,43.6,38.8,44.6
725,high,medium,high,100.0,96.3,58.2,53.5,86.1
76,medium,low,low,29.1,40.7,30.5,32.1,19.8
154,low,medium,medium,13.5,28.6,20.1,19.2,13.3
533,medium,low,low,84.0,90.1,63.4,59.5,63.7
324,low,low,medium,43.9,47.0,32.3,29.4,34.6
585,medium,medium,low,80.2,95.7,67.1,62.6,63.7
475,low,medium,low,52.0,73.3,53.2,48.5,44.1
593,medium,high,low,71.2,96.5,67.7,63.1,59.4
328,low,medium,high,34.4,32.4,17.6,14.7,30.0
466,low,medium,high,50.9,47.3,27.6,23.0,43.2
711,high,high,low,100.0,100.0,82.2,77.7,79.8
43,high,low,low,40.2,47.6,34.1,37.6,25.6
347,high,medium,high,66.6,55.5,31.0,30.8,49.8
657,high,medium,medium,100.0,100.0,68.3,64.4,79.6
603,high,low,low,100.0,100.0,74.4,71.2,79.4
87,high,low,high,45.4,27.4,12.3,15.2,29.9
694,high,high,high,98.3,93.0,56.0,51.6,78.1
